time	V(borne2)	V(vout)
2.823641122812677e-01	-5.745426e-02	1.172353e+00
2.872469247812677e-01	-6.183563e-02	1.166156e+00
2.921297372812677e-01	-6.563768e-02	1.159535e+00
2.970125497812677e-01	-6.887822e-02	1.152547e+00
3.018953622812677e-01	-7.157671e-02	1.145251e+00
3.067781747812677e-01	-7.375406e-02	1.137702e+00
3.116609872812677e-01	-7.543239e-02	1.129952e+00
3.165437997812677e-01	-7.663490e-02	1.122053e+00
3.214266122812677e-01	-7.738565e-02	1.114052e+00
3.263094247812677e-01	-7.770939e-02	1.105995e+00
3.311922372812677e-01	-7.763145e-02	1.097926e+00
3.360750497812677e-01	-7.717749e-02	1.089885e+00
3.409578622812677e-01	-7.637341e-02	1.081908e+00
3.458406747812677e-01	-7.524523e-02	1.074032e+00
3.507234872812677e-01	-7.381888e-02	1.066289e+00
3.556062997812677e-01	-7.212012e-02	1.058708e+00
3.604891122812677e-01	-7.017446e-02	1.051316e+00
3.653719247812677e-01	-6.800700e-02	1.044139e+00
3.702547372812677e-01	-6.564233e-02	1.037196e+00
3.751375497812677e-01	-6.310447e-02	1.030508e+00
3.800203622812677e-01	-6.041678e-02	1.024092e+00
3.849031747812677e-01	-5.760190e-02	1.017961e+00
3.897859872812677e-01	-5.468163e-02	1.012128e+00
3.946687997812677e-01	-5.167694e-02	1.006603e+00
3.995516122812677e-01	-4.860790e-02	1.001394e+00
4.044344247812677e-01	-4.549362e-02	9.965058e-01
4.093172372812677e-01	-4.235222e-02	9.919425e-01
4.190828622812677e-01	-3.605553e-02	9.837968e-01
4.288484872812677e-01	-2.984239e-02	9.769522e-01
4.386141122812677e-01	-2.382055e-02	9.713800e-01
4.483797372812677e-01	-1.808100e-02	9.670307e-01
4.532625497812677e-01	-1.534101e-02	9.652944e-01
4.581453622812677e-01	-1.269828e-02	9.638378e-01
4.630281747812677e-01	-1.015966e-02	9.626503e-01
4.679109872812677e-01	-7.731048e-03	9.617208e-01
4.727937997812677e-01	-5.417433e-03	9.610376e-01
4.776766122812677e-01	-3.222924e-03	9.605886e-01
4.825594247812677e-01	-1.150789e-03	9.603612e-01
4.874422372812677e-01	7.965097e-04	9.603427e-01
4.923250497812677e-01	2.617280e-03	9.605199e-01
4.972078622812677e-01	4.310555e-03	9.608796e-01
5.020906747812677e-01	5.876055e-03	9.614085e-01
5.069734872812677e-01	7.314146e-03	9.620935e-01
5.118562997812677e-01	8.625794e-03	9.629213e-01
5.167391122812677e-01	9.812526e-03	9.638789e-01
5.216219247812677e-01	1.087639e-02	9.649535e-01
5.265047372812677e-01	1.181989e-02	9.661322e-01
5.313875497812677e-01	1.264599e-02	9.674029e-01
5.362703622812677e-01	1.335803e-02	9.687535e-01
5.411531747812677e-01	1.395969e-02	9.701723e-01
5.460359872812677e-01	1.445497e-02	9.716482e-01
5.509187997812677e-01	1.484814e-02	9.731702e-01
5.558016122812677e-01	1.514371e-02	9.747279e-01
5.606844247812677e-01	1.534637e-02	9.763116e-01
5.655672372812677e-01	1.546097e-02	9.779117e-01
5.704500497812677e-01	1.549250e-02	9.795194e-01
5.753328622812677e-01	1.544603e-02	9.811263e-01
5.802156747812677e-01	1.532671e-02	9.827245e-01
5.850984872812677e-01	1.513971e-02	9.843069e-01
5.899812997812677e-01	1.489020e-02	9.858667e-01
5.948641122812677e-01	1.458335e-02	9.873975e-01
5.997469247812677e-01	1.422428e-02	9.888937e-01
6.046297372812677e-01	1.381804e-02	9.903502e-01
6.095125497812677e-01	1.336958e-02	9.917623e-01
6.143953622812677e-01	1.288377e-02	9.931259e-01
6.192781747812677e-01	1.236535e-02	9.944372e-01
6.241609872812677e-01	1.181890e-02	9.956933e-01
6.290437997812677e-01	1.124889e-02	9.968914e-01
6.339266122812677e-01	1.065958e-02	9.980292e-01
6.388094247812677e-01	1.005509e-02	9.991051e-01
6.436922372812677e-01	9.439334e-03	1.000118e+00
6.534578622812677e-01	8.188764e-03	1.001949e+00
6.632234872812677e-01	6.935308e-03	1.003520e+00
6.729891122812677e-01	5.703117e-03	1.004832e+00
6.827547372812677e-01	4.512988e-03	1.005892e+00
6.925203622812677e-01	3.382387e-03	1.006711e+00
6.974031747812677e-01	2.843971e-03	1.007034e+00
7.022859872812677e-01	2.325515e-03	1.007303e+00
7.071687997812677e-01	1.828306e-03	1.007518e+00
7.120516122812677e-01	1.353444e-03	1.007684e+00
7.169344247812677e-01	9.018536e-04	1.007800e+00
7.218172372812677e-01	4.742843e-04	1.007872e+00
7.267000497812677e-01	7.132148e-05	1.007900e+00
