time	V(borne2)	V(vout)
1.375633179427111e+00	6.363972e-01	6.315351e-01
1.380515991927111e+00	6.527535e-01	6.984993e-01
1.385398804427111e+00	6.658029e-01	7.669909e-01
1.390281616927111e+00	6.754791e-01	8.366631e-01
1.395164429427111e+00	6.817332e-01	9.071627e-01
1.400047241927111e+00	6.845335e-01	9.781326e-01
1.404930054427111e+00	6.838658e-01	1.049213e+00
1.409812866927111e+00	6.797335e-01	1.120045e+00
1.414695679427111e+00	6.721575e-01	1.190268e+00
1.419578491927111e+00	6.611761e-01	1.259527e+00
1.424461304427111e+00	6.468452e-01	1.327471e+00
1.429344116927111e+00	6.292372e-01	1.393757e+00
1.434226929427111e+00	6.084412e-01	1.458047e+00
1.439109741927111e+00	5.845628e-01	1.520017e+00
1.443992554427111e+00	5.577229e-01	1.579352e+00
1.448875366927111e+00	5.280575e-01	1.635753e+00
1.453758179427111e+00	4.957168e-01	1.688932e+00
1.458640991927111e+00	4.608646e-01	1.738621e+00
1.463523804427111e+00	4.236776e-01	1.784568e+00
1.468406616927111e+00	3.843442e-01	1.826540e+00
1.473289429427111e+00	3.430636e-01	1.864324e+00
1.478172241927111e+00	3.000450e-01	1.897730e+00
1.483055054427111e+00	2.555062e-01	1.926588e+00
1.487937866927111e+00	2.096731e-01	1.950751e+00
1.492820679427111e+00	1.627777e-01	1.970098e+00
1.497703491927111e+00	1.150576e-01	1.984529e+00
1.502586304427111e+00	6.675462e-02	1.993973e+00
1.507469116927111e+00	1.811345e-02	1.998381e+00
1.512351929427111e+00	-3.061947e-02	1.997732e+00
1.517234741927111e+00	-7.919727e-02	1.992027e+00
1.522117554427111e+00	-1.273738e-01	1.981297e+00
1.527000366927111e+00	-1.749051e-01	1.965595e+00
1.531883179427111e+00	-2.215502e-01	1.945001e+00
1.536765991927111e+00	-2.670729e-01	1.919619e+00
1.541648804427111e+00	-3.112425e-01	1.889579e+00
1.546531616927111e+00	-3.538353e-01	1.855031e+00
1.551414429427111e+00	-3.946355e-01	1.816152e+00
1.556297241927111e+00	-4.334363e-01	1.773138e+00
1.561180054427111e+00	-4.700413e-01	1.726207e+00
1.566062866927111e+00	-5.042648e-01	1.675597e+00
1.570945679427111e+00	-5.359337e-01	1.621564e+00
1.575828491927111e+00	-5.648874e-01	1.564382e+00
1.580711304427111e+00	-5.909793e-01	1.504341e+00
1.585594116927111e+00	-6.140770e-01	1.441745e+00
1.590476929427111e+00	-6.340638e-01	1.376910e+00
1.595359741927111e+00	-6.508381e-01	1.310166e+00
1.600242554427111e+00	-6.643152e-01	1.241851e+00
1.605125366927111e+00	-6.744267e-01	1.172311e+00
1.610008179427111e+00	-6.811215e-01	1.101897e+00
1.614890991927111e+00	-6.843654e-01	1.030967e+00
1.619773804427111e+00	-6.841422e-01	9.598807e-01
1.624656616927111e+00	-6.804529e-01	8.889973e-01
1.629539429427111e+00	-6.733164e-01	8.186762e-01
1.634422241927111e+00	-6.627685e-01	7.492737e-01
1.639305054427111e+00	-6.488630e-01	6.811414e-01
1.644187866927111e+00	-6.316702e-01	6.146246e-01
1.649070679427111e+00	-6.112772e-01	5.500601e-01
1.653953491927111e+00	-5.877873e-01	4.877751e-01
1.658836304427111e+00	-5.613195e-01	4.280851e-01
1.663719116927111e+00	-5.320079e-01	3.712926e-01
1.668601929427111e+00	-5.000010e-01	3.176852e-01
1.673484741927111e+00	-4.654610e-01	2.675346e-01
1.678367554427111e+00	-4.285629e-01	2.210949e-01
1.683250366927111e+00	-3.894935e-01	1.786012e-01
1.688133179427111e+00	-3.484509e-01	1.402689e-01
1.693015991927111e+00	-3.056429e-01	1.062922e-01
1.697898804427111e+00	-2.612865e-01	7.684320e-02
1.702781616927111e+00	-2.156063e-01	5.207112e-02
1.707664429427111e+00	-1.688338e-01	3.210146e-02
1.712547241927111e+00	-1.212059e-01	1.703539e-02
1.717430054427111e+00	-7.296395e-02	6.949225e-03
1.722312866927111e+00	-2.435235e-02	1.894077e-03
1.727195679427111e+00	2.438264e-02	1.895554e-03
1.732078491927111e+00	7.299411e-02	6.953649e-03
1.736961304427111e+00	1.212358e-01	1.704273e-02
1.741844116927111e+00	1.688633e-01	3.211170e-02
1.746726929427111e+00	2.156352e-01	5.208420e-02
1.751609741927111e+00	2.613147e-01	7.685905e-02
1.756492554427111e+00	3.056704e-01	1.063107e-01
1.761375366927111e+00	3.484775e-01	1.402901e-01
1.766258179427111e+00	3.895191e-01	1.786248e-01
1.771140991927111e+00	4.285873e-01	2.211209e-01
1.776023804427111e+00	4.654842e-01	2.675629e-01
1.780906616927111e+00	5.000229e-01	3.177156e-01
1.785789429427111e+00	5.320283e-01	3.713249e-01
1.790672241927111e+00	5.613384e-01	4.281192e-01
1.795555054427111e+00	5.878046e-01	4.878108e-01
1.800437866927111e+00	6.112928e-01	5.500973e-01
1.805320679427111e+00	6.316842e-01	6.146630e-01
1.810203491927111e+00	6.488752e-01	6.811810e-01
1.815086304427111e+00	6.627789e-01	7.493141e-01
1.819969116927111e+00	6.733248e-01	8.187172e-01
1.824851929427111e+00	6.804596e-01	8.890388e-01
1.829734741927111e+00	6.841469e-01	9.599225e-01
1.834617554427111e+00	6.843682e-01	1.031009e+00
1.839500366927111e+00	6.811223e-01	1.101939e+00
1.844383179427111e+00	6.744257e-01	1.172352e+00
1.849265991927111e+00	6.643124e-01	1.241892e+00
1.854148804427111e+00	6.508335e-01	1.310206e+00
1.859031616927111e+00	6.340573e-01	1.376949e+00
1.863914429427111e+00	6.140688e-01	1.441782e+00
