time	V(vin)	V(vout)
7.315828622775263e-01	1.000000e+00	1.007888e+00
7.364656747775263e-01	1.000000e+00	1.007837e+00
7.413484872775263e-01	1.000000e+00	1.007751e+00
7.462312997775263e-01	1.000000e+00	1.007633e+00
7.511141122775263e-01	1.000000e+00	1.007485e+00
7.559969247775263e-01	1.000000e+00	1.007309e+00
7.608797372775263e-01	1.000000e+00	1.007108e+00
7.657625497775263e-01	1.000000e+00	1.006886e+00
7.706453622775263e-01	1.000000e+00	1.006643e+00
7.804109872775263e-01	1.000000e+00	1.006108e+00
7.901766122775263e-01	1.000000e+00	1.005522e+00
7.950594247775263e-01	1.000000e+00	1.005216e+00
7.999422372775263e-01	1.000000e+00	1.004903e+00
8.048250497775263e-01	1.000000e+00	1.004586e+00
8.097078622775263e-01	1.000000e+00	1.004266e+00
8.145906747775263e-01	1.000000e+00	1.003946e+00
8.194734872775263e-01	1.000000e+00	1.003626e+00
8.243562997775263e-01	1.000000e+00	1.003309e+00
8.292391122775263e-01	1.000000e+00	1.002995e+00
8.341219247775263e-01	1.000000e+00	1.002686e+00
8.390047372775263e-01	1.000000e+00	1.002384e+00
8.438875497775263e-01	1.000000e+00	1.002089e+00
8.487703622775263e-01	1.000000e+00	1.001802e+00
8.585359872775263e-01	1.000000e+00	1.001257e+00
8.683016122775263e-01	1.000000e+00	1.000754e+00
8.780672372775263e-01	1.000000e+00	1.000298e+00
8.878328622775263e-01	1.000000e+00	9.998922e-01
8.975984872775263e-01	1.000000e+00	9.995377e-01
9.073641122775263e-01	1.000000e+00	9.992351e-01
9.220125497775263e-01	1.000000e+00	9.988770e-01
9.366609872775263e-01	1.000000e+00	9.986286e-01
9.513094247775263e-01	1.000000e+00	9.984807e-01
9.610750497775263e-01	1.000000e+00	9.984321e-01
9.708406747775263e-01	1.000000e+00	9.984192e-01
9.806062997775263e-01	1.000000e+00	9.984377e-01
9.903719247775263e-01	1.000000e+00	9.984835e-01
1.005020362277526e+00	1.000000e+00	9.985943e-01
1.019668799777526e+00	1.000000e+00	9.987433e-01
1.034317237277526e+00	1.000000e+00	9.989175e-01
1.048965674777526e+00	1.000000e+00	9.991053e-01
1.063614112277526e+00	1.000000e+00	9.992965e-01
1.078262549777526e+00	1.000000e+00	9.994828e-01
1.092910987277526e+00	1.000000e+00	9.996571e-01
1.107559424777526e+00	1.000000e+00	9.998144e-01
1.122207862277526e+00	1.000000e+00	9.999514e-01
1.133368576563240e+00	1.000000e+00	1.000040e+00
1.144529290848955e+00	1.000000e+00	1.000115e+00
1.155690005134669e+00	1.000000e+00	1.000178e+00
1.166850719420383e+00	1.000000e+00	1.000228e+00
1.178011433706098e+00	1.000000e+00	1.000266e+00
1.189172147991812e+00	1.000000e+00	1.000291e+00
1.200332862277526e+00	1.000000e+00	1.000304e+00
1.214981299777526e+00	1.000000e+00	1.000302e+00
1.229629737277526e+00	1.000000e+00	1.000293e+00
1.244278174777526e+00	1.000000e+00	1.000276e+00
1.258926612277526e+00	1.000000e+00	1.000253e+00
1.273575049777526e+00	1.000000e+00	1.000223e+00
1.288223487277526e+00	1.000000e+00	1.000186e+00
1.302871924777526e+00	1.000000e+00	1.000141e+00
1.321008085491812e+00	1.000000e+00	1.000093e+00
1.339144246206098e+00	1.000000e+00	1.000051e+00
1.357280406920383e+00	1.000000e+00	1.000016e+00
1.375416567634669e+00	1.000000e+00	9.999866e-01
1.393552728348955e+00	1.000000e+00	9.999636e-01
1.411688889063241e+00	1.000000e+00	9.999469e-01
1.429825049777526e+00	1.000000e+00	9.999364e-01
1.459121924777526e+00	1.000000e+00	9.999404e-01
1.488418799777526e+00	1.000000e+00	9.999461e-01
1.517715674777526e+00	1.000000e+00	9.999536e-01
1.547012549777526e+00	1.000000e+00	9.999628e-01
1.576309424777526e+00	1.000000e+00	9.999738e-01
1.605606299777526e+00	1.000000e+00	9.999865e-01
1.634903174777526e+00	1.000000e+00	1.000001e+00
1.691404290848955e+00	1.000000e+00	1.000000e+00
1.747905406920383e+00	1.000000e+00	9.999994e-01
1.804406522991812e+00	1.000000e+00	9.999985e-01
1.860907639063241e+00	1.000000e+00	9.999974e-01
1.917408755134669e+00	1.000000e+00	9.999962e-01
1.973909871206098e+00	1.000000e+00	9.999949e-01
2.030410987277526e+00	1.000000e+00	9.999935e-01
3.739395362277526e+00	1.000000e+00	9.999946e-01
4.999160987277526e+00	1.000000e+00	9.999946e-01
5.000000000000000e+00	1.000000e+00	9.999946e-01
