time	V(vout)
8.600000003095931e+01	-3.747787e+00
8.600000003788598e+01	-3.748388e+00
8.600000004565899e+01	-3.749162e+00
8.600000005351899e+01	-3.749964e+00
8.600000006264973e+01	-3.750816e+00
8.600000007226237e+01	-3.751518e+00
8.600000008334806e+01	-3.752010e+00
8.600000009386480e+01	-3.752118e+00
8.600000010613483e+01	-3.751812e+00
8.600000011932016e+01	-3.751060e+00
8.600000013642246e+01	-3.749669e+00
8.600000015319949e+01	-3.748115e+00
8.600000017343156e+01	-3.746293e+00
8.600000019160558e+01	-3.744937e+00
8.600000021093719e+01	-3.743935e+00
8.600000022969043e+01	-3.743438e+00
8.600000025192574e+01	-3.743378e+00
8.600000027485633e+01	-3.743728e+00
8.600000029344865e+01	-3.744220e+00
8.600000031011068e+01	-3.744742e+00
8.600000032640747e+01	-3.745255e+00
8.600000034225300e+01	-3.745714e+00
8.600000035901739e+01	-3.746131e+00
8.600000037434110e+01	-3.746440e+00
8.600000038978956e+01	-3.746677e+00
8.600000040453845e+01	-3.746839e+00
8.600000041977947e+01	-3.746947e+00
8.600000043672598e+01	-3.747013e+00
8.600000045325704e+01	-3.747036e+00
8.600000047077822e+01	-3.747030e+00
8.600000048786129e+01	-3.747008e+00
8.600000050567296e+01	-3.746976e+00
8.600000052330861e+01	-3.746944e+00
8.600000054190973e+01	-3.746914e+00
8.600000055594138e+01	-3.746897e+00
8.600000057016022e+01	-3.746884e+00
8.600000058557322e+01	-3.746876e+00
8.600000060302030e+01	-3.746871e+00
8.600000061980623e+01	-3.746870e+00
8.600000063746663e+01	-3.746873e+00
8.600000065451955e+01	-3.746876e+00
8.600000067365617e+01	-3.746881e+00
8.600000069690074e+01	-3.746886e+00
8.600000073220552e+01	-3.746892e+00
8.600000075754485e+01	-3.746895e+00
8.600000078340045e+01	-3.746896e+00
8.600000081486800e+01	-3.746896e+00
8.600000084761876e+01	-3.746896e+00
8.600000089190510e+01	-3.746896e+00
8.600000096450947e+01	-3.746898e+00
8.600000103176042e+01	-3.746900e+00
8.600000110271553e+01	-3.746902e+00
8.600141436501819e+01	-3.781143e+00
8.600282762732085e+01	-3.812261e+00
8.600424088962352e+01	-3.840257e+00
8.600565415192619e+01	-3.865129e+00
8.600706741422886e+01	-3.886879e+00
8.600848067653152e+01	-3.905505e+00
8.600989393883418e+01	-3.921008e+00
8.601978591030925e+01	-3.946207e+00
8.603790650873039e+01	-3.704674e+00
8.605596945370513e+01	-3.082909e+00
8.608294826140884e+01	-1.569734e+00
8.610571808858613e+01	8.627402e-02
8.612563428226223e+01	1.737733e+00
8.614586846889605e+01	3.428929e+00
8.617204435935962e+01	5.377555e+00
8.620070100976766e+01	7.010819e+00
8.622225910154403e+01	7.735208e+00
8.624082010731057e+01	7.882668e+00
8.626031747888278e+01	7.564368e+00
8.628000666318849e+01	6.771622e+00
8.630682588279268e+01	5.108050e+00
8.633567156192464e+01	2.882665e+00
8.635572794812181e+01	1.197052e+00
8.637363202895388e+01	-2.763399e-01
8.639190511922662e+01	-1.617398e+00
8.641115096229649e+01	-2.717399e+00
8.643723833709241e+01	-3.654408e+00
8.645721755865398e+01	-3.869785e+00
8.647796695790289e+01	-3.551122e+00
8.649714398360145e+01	-2.782905e+00
8.652442885504524e+01	-1.109130e+00
8.654635342144154e+01	5.643100e-01
